Year Month,Postal Code,Customer Class,Total Gallons
201510,78748,Irrigation - Multi-Family,"16,738,200"
201304,78752,Irrigation - Multi-Family,"83,500"
201408,78748,Irrigation - Residential,"15,300"
201703,78721,Multi-Family,"4,408,100"
201312,78660,Multi-Family,"3,124,000"
201204,78724,Residential,"19,135,800"
201403,78717,Residential,"22,495,000"
201212,78751,Irrigation - Residential,"80,900"
201312,78736,Irrigation - Multi-Family,"230,100"
201302,78726,Multi-Family,"10,302,200"
201401,78756,Residential,"9,809,600"
201712,78758,Multi-Family,"42,475,700"
201404,78753,Irrigation - Residential,"1,800"
201504,78753,Residential,"36,195,200"
201610,78722,Irrigation - Multi-Family,"358,100"
201802,78705,Irrigation - Multi-Family,"402,100"
201606,78722,Irrigation - Multi-Family,"72,100"
201601,78758,Residential,"36,921,000"
201502,78757,Irrigation - Multi-Family,"69,800"
201404,78724,Irrigation - Multi-Family,"276,900"
201201,78704,Residential,"41,373,500"
201310,78727,Irrigation - Residential,"20,300"
201308,78728,Irrigation - Multi-Family,"1,825,900"
201212,78745,Irrigation - Residential,"96,900"
201507,78750,Residential,"71,653,400"
201312,78726,Residential,"12,381,700"
201405,78727,Irrigation - Residential,"19,400"
201506,78723,Irrigation - Multi-Family,"102,000"
201704,78702,Irrigation - Residential,"1,800"
201709,78756,Multi-Family,"7,896,300"
201606,78747,Irrigation - Residential,"9,900"
201508,78724,Irrigation - Residential,"60,100"
201805,78753,Irrigation - Residential,0
201410,78723,Multi-Family,"21,813,000"
201805,78753,Residential,"39,979,300"
201307,78756,Irrigation - Multi-Family,"190,400"
201403,78729,Irrigation - Residential,"7,600"
201504,78744,Multi-Family,"24,984,000"
201606,78729,Residential,"21,064,900"
201412,78731,Residential,"48,452,600"
201501,78757,Irrigation - Multi-Family,"104,600"
201703,78653,Irrigation - Residential,"5,000"
201308,78724,Multi-Family,"13,277,900"
201202,78731,Residential,"41,953,600"
201602,78742,Irrigation - Multi-Family,"76,800"
201801,78758,Irrigation - Residential,"49,100"
201506,78757,Irrigation - Multi-Family,"193,800"
201608,78739,Irrigation - Multi-Family,"187,600"
201204,78721,Residential,"15,044,600"
201405,78704,Irrigation - Residential,"185,500"
201607,78757,Irrigation - Residential,"49,900"
201701,78702,Multi-Family,"11,833,700"
201506,78721,Irrigation - Residential,"5,300"
201410,78702,Irrigation - Residential,"17,200"
201210,78723,Multi-Family,"22,089,200"
201405,78737,Irrigation - Residential,"16,000"
201303,78759,Irrigation - Residential,"79,200"
201311,78717,Residential,"24,053,100"
201409,78729,Irrigation - Residential,"7,000"
201801,78744,Irrigation - Multi-Family,"1,377,600"
201201,78744,Residential,"52,193,900"
201504,78730,Irrigation - Residential,"58,900"
201301,78756,Residential,"11,917,400"
201801,78660,Irrigation - Multi-Family,"2,157,000"
201203,78702,Irrigation - Residential,"27,000"
201506,78727,Irrigation - Multi-Family,"2,826,700"
201507,78717,Residential,"43,576,100"
201402,78729,Multi-Family,"19,064,800"
201410,78759,Irrigation - Residential,"99,000"
201205,78735,Multi-Family,"10,388,000"
201308,78753,Irrigation - Residential,"10,700"
201803,78704,Irrigation - Multi-Family,"1,560,700"
201408,78736,Irrigation - Multi-Family,"313,300"
201212,78749,Irrigation - Residential,"41,200"
201512,78701,Irrigation - Multi-Family,"1,160,500"
201705,78739,Residential,"37,912,800"
201502,78719,Residential,"1,253,000"
201201,78742,Multi-Family,"387,000"
201502,78731,Irrigation - Multi-Family,"176,200"
201509,78759,Multi-Family,"45,927,700"
201602,78702,Irrigation - Residential,"15,300"
201206,78729,Irrigation - Residential,"12,600"
201306,78726,Irrigation - Residential,"40,800"
201301,78753,Irrigation - Multi-Family,"2,939,300"
201712,78705,Residential,"9,116,400"
201411,78738,Residential,"6,700"
201206,78736,Multi-Family,"1,831,000"
201210,78742,Multi-Family,"312,000"
201407,78704,Irrigation - Residential,"229,400"
201206,78749,Residential,"104,231,100"
201802,78737,Irrigation - Residential,"2,400"
201707,78735,Multi-Family,"11,779,900"
201402,78729,Residential,"17,499,300"
201202,78722,Residential,"7,240,400"
201211,78753,Irrigation - Residential,"7,700"
201410,78741,Irrigation - Multi-Family,"2,234,900"
201605,78745,Residential,"60,433,400"
201407,78730,Irrigation - Multi-Family,"1,222,400"
201303,78751,Irrigation - Residential,"54,400"
201611,78652,Residential,"3,104,100"
201209,78750,Irrigation - Multi-Family,"3,790,200"
201401,78750,Irrigation - Multi-Family,"387,700"
201508,78727,Multi-Family,"21,835,400"
201409,78737,Irrigation - Residential,"20,900"
201203,78704,Residential,"40,437,200"
201510,78613,Multi-Family,"1,394,000"
201202,78747,Irrigation - Multi-Family,"186,400"
201512,78746,Irrigation - Residential,"222,500"
201312,78729,Residential,"18,769,000"
201508,78752,Residential,"15,921,400"
201502,78660,Irrigation - Multi-Family,"17,300"
201302,78746,Irrigation - Residential,"235,100"
201408,78731,Residential,"90,489,700"
201510,78744,Irrigation - Residential,"109,900"
201208,78737,Irrigation - Residential,"8,400"
201602,78725,Residential,"2,511,600"
201711,78757,Residential,"30,244,100"
201512,78717,Multi-Family,"10,820,000"
201805,78721,Multi-Family,"4,247,100"
201205,78758,Irrigation - Residential,"26,100"
201305,78652,Multi-Family,"17,200"
201511,78753,Residential,"33,468,600"
201502,78652,Residential,"784,400"
201705,78702,Multi-Family,"10,250,100"
201408,78759,Multi-Family,"41,266,800"
201401,78660,Irrigation - Residential,"10,100"
201305,78702,Multi-Family,"9,590,900"
201209,78752,Multi-Family,"16,558,300"
201408,78727,Irrigation - Residential,"33,800"
201402,78727,Irrigation - Residential,700
201402,78726,Irrigation - Multi-Family,"1,278,500"
201211,78723,Irrigation - Multi-Family,"397,100"
201304,78724,Irrigation - Multi-Family,"220,600"
201604,78652,Multi-Family,"41,800"
201306,78701,Residential,"1,186,300"
201808,78726,Irrigation - Multi-Family,"6,055,800"
201510,78758,Multi-Family,"51,673,300"
201703,78741,Irrigation - Multi-Family,"1,502,700"
201406,78744,Irrigation - Residential,"3,000"
201411,78759,Multi-Family,"38,284,000"
201407,78723,Irrigation - Multi-Family,"224,100"
201701,78741,Irrigation - Residential,"10,400"
201202,78705,Irrigation - Residential,"48,700"
201502,78704,Irrigation - Residential,"46,700"
201601,78735,Multi-Family,"8,391,400"
201306,78747,Multi-Family,"8,181,300"
201403,78736,Multi-Family,"1,988,700"
201502,78735,Multi-Family,"7,474,500"
201407,78613,Multi-Family,"842,200"
201508,78753,Residential,"59,922,200"
201804,78721,Irrigation - Multi-Family,"69,800"
201409,78727,Irrigation - Residential,"30,500"
201702,78705,Irrigation - Multi-Family,"368,100"
201409,78721,Irrigation - Multi-Family,"114,300"
201204,78748,Irrigation - Residential,"2,000"
201405,78741,Irrigation - Residential,"26,700"
201311,78705,Irrigation - Multi-Family,"378,500"
201403,78735,Multi-Family,"7,715,000"
201307,78745,Irrigation - Residential,"108,500"
201302,78702,Irrigation - Multi-Family,"537,100"
201511,78748,Multi-Family,"19,719,900"
201706,78725,Residential,"3,009,400"
201611,78724,Irrigation - Multi-Family,"420,200"
201609,78745,Multi-Family,"35,346,100"
201608,78748,Irrigation - Multi-Family,"12,109,000"
201212,78759,Multi-Family,"35,944,800"
201609,78704,Irrigation - Residential,"261,500"
201605,78702,Irrigation - Multi-Family,"708,600"
201503,78731,Irrigation - Multi-Family,"124,300"
201503,78759,Irrigation - Multi-Family,"437,500"
201209,78757,Residential,"60,108,100"
201201,78746,Multi-Family,"13,458,100"
201207,78745,Irrigation - Multi-Family,"4,435,300"
201301,78660,Multi-Family,"3,814,000"
201203,78717,Multi-Family,"6,778,800"
201402,78750,Residential,"39,370,000"
201407,78712,Residential,0
201404,78747,Residential,"23,145,300"
201204,78717,Irrigation - Multi-Family,"2,160,500"
201703,78742,Multi-Family,"222,700"
201702,78731,Residential,"37,820,200"
201801,78723,Irrigation - Residential,"8,900"
201212,78747,Irrigation - Residential,"64,400"
201702,78741,Multi-Family,"67,242,600"
201408,78721,Irrigation - Residential,"12,700"
201604,78751,Residential,"14,594,400"
201405,78724,Irrigation - Residential,"51,500"
201803,78751,Residential,"12,839,700"
201303,78701,Multi-Family,"13,133,900"
201805,78701,Residential,"964,800"
201511,78660,Multi-Family,"3,930,700"
201606,78741,Irrigation - Multi-Family,"1,638,400"
201507,78753,Multi-Family,"60,587,500"
201510,78705,Irrigation - Multi-Family,"1,065,000"
201806,78756,Residential,"13,489,200"
201606,78702,Irrigation - Residential,"20,200"
201611,78652,Multi-Family,"60,600"
201704,78753,Irrigation - Residential,"2,000"
201204,78717,Irrigation - Residential,"9,400"
201403,78737,Irrigation - Residential,"19,300"
201307,78722,Multi-Family,"2,537,400"
201612,78723,Irrigation - Residential,"7,900"
201701,78735,Multi-Family,"10,159,400"
201806,78747,Residential,"34,999,100"
201304,78747,Irrigation - Residential,"24,800"
201802,78660,Irrigation - Multi-Family,"458,800"
201501,78702,Irrigation - Multi-Family,"523,000"
201412,78735,Residential,"14,931,000"
201610,78721,Irrigation - Multi-Family,"159,600"
201311,78751,Irrigation - Multi-Family,"526,100"
201510,78701,Irrigation - Multi-Family,"1,578,700"
201204,78739,Residential,"33,679,100"
201611,78705,Irrigation - Multi-Family,"970,200"
201512,78728,Multi-Family,"7,265,600"
201211,78660,Irrigation - Residential,"10,600"
201404,78753,Residential,"39,947,600"
201412,78652,Multi-Family,"44,400"
201510,78731,Irrigation - Multi-Family,"1,228,900"
201212,78703,Irrigation - Multi-Family,"503,700"
201404,78719,Multi-Family,"443,900"
201712,78653,Irrigation - Residential,"13,000"
201510,78747,Irrigation - Multi-Family,"1,322,600"
201209,78727,Irrigation - Residential,"17,300"
201409,78617,Irrigation - Residential,"3,400"
201603,78703,Irrigation - Residential,"903,800"
201504,78751,Irrigation - Residential,"41,900"
201405,78751,Residential,"17,074,400"
201805,78746,Residential,"43,363,200"
201305,78719,Residential,"1,554,500"
201412,78701,Irrigation - Residential,"16,800"
201512,78722,Irrigation - Residential,"1,000"
201204,78726,Irrigation - Multi-Family,"2,657,700"
201711,78703,Irrigation - Multi-Family,"603,300"
201306,78729,Irrigation - Multi-Family,"3,350,300"
201511,78744,Irrigation - Multi-Family,"935,200"
201605,78728,Multi-Family,"6,945,800"
201201,78721,Residential,"15,838,100"
201406,78741,Multi-Family,"82,518,600"
201508,78723,Irrigation - Residential,"1,700"
201310,78745,Residential,"73,730,600"
201604,78748,Residential,"60,696,600"
201503,78721,Residential,"12,498,400"
201304,78748,Irrigation - Multi-Family,"4,556,900"
201410,78613,Multi-Family,"984,000"
201405,78717,Irrigation - Multi-Family,"3,714,600"
201503,78728,Multi-Family,"6,603,000"
201712,78741,Irrigation - Residential,"30,200"
201803,78617,Residential,"16,967,000"
201612,78725,Multi-Family,"167,400"
201609,78613,Irrigation - Multi-Family,"2,384,900"
201407,78652,Multi-Family,"18,600"
201301,78732,Residential,"15,900"
201712,78725,Irrigation - Residential,0
201402,78722,Multi-Family,"2,456,500"
201209,78752,Irrigation - Multi-Family,"276,700"
201405,78741,Irrigation - Multi-Family,"1,608,700"
201802,78703,Residential,"35,970,200"
201312,78741,Irrigation - Residential,"7,000"
201807,78750,Multi-Family,"13,289,700"
201410,78739,Residential,"47,347,400"
201202,78758,Residential,"35,202,100"
201212,78730,Irrigation - Residential,"319,400"
201605,78660,Irrigation - Residential,"32,500"
201411,78721,Residential,"13,543,500"
201502,78726,Residential,"10,282,800"
201306,78719,Residential,"1,713,600"
201303,78704,Multi-Family,"44,297,100"
201512,78719,Multi-Family,"438,500"
201208,78751,Residential,"21,525,600"
201703,78613,Irrigation - Multi-Family,"624,100"
201704,78754,Irrigation - Residential,"13,500"
201308,78741,Multi-Family,"88,446,300"
201311,78753,Irrigation - Multi-Family,"2,866,200"
201311,78747,Irrigation - Multi-Family,"457,800"
201403,78742,Multi-Family,"284,600"
201603,78717,Irrigation - Residential,"20,800"
201401,78754,Irrigation - Residential,"26,200"
201607,78717,Multi-Family,"12,390,400"
201701,78754,Irrigation - Residential,"27,400"
201512,78701,Irrigation - Residential,"31,600"
201403,78702,Irrigation - Residential,"12,000"
201203,78704,Multi-Family,"46,078,600"
201312,78747,Multi-Family,"6,863,400"
201712,78747,Multi-Family,"7,192,700"
201507,78724,Multi-Family,"13,169,900"
201403,78749,Residential,"46,225,100"
201604,78741,Irrigation - Residential,"17,900"
201509,78744,Irrigation - Multi-Family,"2,129,400"
201507,78613,Irrigation - Multi-Family,"950,800"
201210,78702,Multi-Family,"8,657,300"
201212,78746,Irrigation - Multi-Family,"846,700"
201310,78757,Irrigation - Residential,"39,700"
201407,78705,Irrigation - Residential,"90,300"
201510,78704,Irrigation - Residential,"389,400"
201502,78729,Irrigation - Residential,"1,400"
201310,78729,Residential,"23,561,100"
201305,78744,Irrigation - Residential,"1,000"
201308,78701,Irrigation - Multi-Family,"506,700"
201407,78754,Residential,"25,583,000"
201511,78725,Residential,"2,466,500"
201802,78724,Irrigation - Multi-Family,"166,800"
201308,78744,Multi-Family,"27,818,200"
201402,78730,Multi-Family,"4,050,100"
201502,78652,Irrigation - Residential,"73,100"
201302,78729,Residential,"19,134,400"
201308,78730,Residential,"22,516,200"
201405,78747,Irrigation - Multi-Family,"711,400"
201509,78751,Irrigation - Residential,"145,700"
201202,78702,Irrigation - Residential,"6,300"
201411,78660,Irrigation - Residential,"8,600"
201504,78737,Irrigation - Residential,"5,100"
201801,78701,Irrigation - Residential,"34,400"
201211,78719,Residential,"1,542,700"
201809,78721,Irrigation - Residential,"5,800"
201404,78744,Irrigation - Residential,"2,500"
201607,78753,Residential,"53,345,800"
201403,78736,Irrigation - Multi-Family,"186,600"
201603,78741,Irrigation - Residential,"14,500"
201506,78749,Multi-Family,"17,305,200"
201405,78717,Residential,"38,973,400"
201405,78730,Irrigation - Multi-Family,"753,200"
201501,78757,Irrigation - Residential,"12,900"
201602,78613,Multi-Family,"1,626,500"
201509,78702,Irrigation - Residential,"50,800"
201310,78756,Irrigation - Residential,"52,100"
201303,78726,Irrigation - Multi-Family,"3,007,400"
201210,78702,Irrigation - Residential,"19,500"
201809,78613,Irrigation - Multi-Family,"2,283,000"
201306,78726,Residential,"21,339,900"
201501,78701,Residential,"784,400"
201607,78703,Residential,"72,679,100"
201610,78701,Residential,"1,025,400"
201312,78745,Residential,"65,581,900"
201505,78741,Irrigation - Residential,"8,500"
201607,78704,Irrigation - Residential,"345,300"
201205,78754,Irrigation - Residential,0
201601,78721,Irrigation - Multi-Family,"315,000"
201605,78742,Irrigation - Multi-Family,"97,400"
201211,78652,Residential,"692,400"
201503,78705,Irrigation - Residential,"27,300"
201711,78737,Residential,"6,956,000"
201507,78702,Residential,"26,426,700"
201211,78724,Irrigation - Multi-Family,"536,300"
201305,78730,Irrigation - Residential,"120,000"
201307,78754,Residential,"29,957,800"
201702,78660,Multi-Family,"4,518,200"
201510,78749,Residential,"86,571,300"
201207,78729,Residential,"39,158,000"
201307,78652,Irrigation - Residential,"61,800"
201511,78739,Irrigation - Multi-Family,"75,100"
201510,78719,Residential,"1,965,800"
201406,78617,Multi-Family,"3,815,200"
201310,78744,Multi-Family,"25,180,200"
201307,78736,Residential,"22,065,200"
201501,78727,Irrigation - Multi-Family,"1,031,900"
201508,78724,Residential,"24,642,900"
201701,78748,Multi-Family,"25,001,000"
201403,78721,Irrigation - Multi-Family,"2,800"
201209,78737,Irrigation - Residential,"12,400"
201408,78751,Residential,"17,655,900"
201604,78725,Multi-Family,"170,800"
201302,78739,Residential,"31,995,300"
201605,78617,Irrigation - Residential,"5,400"
201711,78756,Irrigation - Multi-Family,"160,900"
201502,78702,Multi-Family,"9,455,400"
201408,78727,Multi-Family,"20,502,800"
201310,78750,Multi-Family,"13,267,000"
201311,78739,Irrigation - Residential,"8,700"
201805,78721,Irrigation - Multi-Family,"58,300"
201703,78705,Irrigation - Multi-Family,"424,600"
201310,78757,Multi-Family,"16,258,100"
201612,78747,Irrigation - Residential,0
201704,78725,Multi-Family,"141,000"
201511,78757,Residential,"32,729,600"
201512,78741,Irrigation - Residential,"10,000"
201204,78702,Irrigation - Multi-Family,"469,300"
201402,78744,Multi-Family,"22,599,800"
201409,78660,Irrigation - Residential,"10,000"
201601,78723,Irrigation - Multi-Family,"27,500"
201406,78727,Irrigation - Residential,"21,000"
201404,78725,Residential,"2,417,200"
201608,78731,Irrigation - Residential,"854,500"
201610,78702,Irrigation - Residential,"27,400"
201404,78749,Residential,"57,718,700"
201507,78730,Multi-Family,"5,358,000"
201801,78717,Irrigation - Multi-Family,"1,283,300"
201204,78729,Residential,"20,768,500"
201212,78729,Residential,"25,749,400"
201301,78717,Residential,"26,958,300"
201306,78748,Irrigation - Multi-Family,"8,063,900"
201303,78747,Residential,"21,152,000"
201210,78703,Irrigation - Multi-Family,"692,100"
201206,78735,Multi-Family,"11,353,500"
201602,78725,Irrigation - Residential,0
201806,78744,Residential,"56,175,700"
201311,78738,Residential,"6,500"
201703,78745,Irrigation - Residential,"113,100"
201208,78726,Irrigation - Multi-Family,"7,843,400"
201301,78704,Irrigation - Multi-Family,"1,005,400"
201805,78754,Multi-Family,"16,820,500"
201307,78704,Irrigation - Residential,"203,300"
201606,78724,Multi-Family,"11,333,100"
201806,78753,Irrigation - Multi-Family,"6,259,300"
201610,78660,Irrigation - Multi-Family,"1,082,900"
201206,78754,Residential,"30,346,800"
201510,78758,Irrigation - Residential,"46,600"
201209,78744,Irrigation - Residential,"3,300"
201601,78613,Irrigation - Multi-Family,"569,600"
201602,78754,Irrigation - Residential,"22,400"
201310,78724,Irrigation - Residential,"25,200"
201209,78730,Multi-Family,"5,361,900"
201503,78717,Irrigation - Residential,"14,600"
201205,78704,Multi-Family,"49,476,300"
201807,78703,Irrigation - Multi-Family,"871,900"
201606,78737,Residential,"6,106,800"
201207,78704,Irrigation - Multi-Family,"2,756,700"
201506,78744,Multi-Family,"25,745,500"
201202,78750,Residential,"36,842,300"
201608,78731,Irrigation - Multi-Family,"1,469,400"
201312,78758,Irrigation - Multi-Family,"1,192,100"
201208,78652,Residential,"977,800"
201309,78752,Multi-Family,"19,004,500"
201211,78717,Irrigation - Residential,"39,700"
201202,78617,Residential,"17,427,100"
201304,78732,Residential,"5,200"
201508,78741,Irrigation - Multi-Family,"3,404,900"
201409,78747,Irrigation - Residential,"43,100"
201512,78652,Residential,"1,606,800"
201612,78729,Irrigation - Residential,"3,600"
201309,78756,Irrigation - Residential,"104,200"
201206,78739,Irrigation - Residential,0
201405,78736,Irrigation - Multi-Family,"277,200"
201408,78726,Residential,"27,462,700"
201508,78723,Irrigation - Multi-Family,"191,800"
201204,78745,Multi-Family,"28,811,500"
201403,78746,Irrigation - Residential,"238,900"
201209,78749,Irrigation - Residential,"33,900"
201503,78722,Multi-Family,"2,545,700"
201407,78702,Irrigation - Multi-Family,"1,039,400"
201202,78731,Irrigation - Residential,"201,800"
201602,78728,Irrigation - Multi-Family,"422,400"
201808,78745,Residential,"96,925,300"
201612,78750,Residential,"39,700,900"
201606,78717,Irrigation - Residential,"23,300"
201806,78733,Residential,"72,900"
201603,78701,Residential,"755,800"
201702,78748,Irrigation - Residential,"20,900"
201401,78613,Multi-Family,"340,400"
201303,78744,Residential,"46,449,000"
201306,78704,Irrigation - Multi-Family,"2,327,900"
201210,78753,Residential,"44,293,600"
201505,78737,Irrigation - Residential,"5,000"
201503,78660,Multi-Family,"4,108,100"
201607,78723,Irrigation - Residential,"7,600"
201704,78725,Residential,"2,722,300"
201607,78750,Irrigation - Residential,"113,100"
201506,78745,Irrigation - Residential,"49,000"
201802,78725,Multi-Family,"165,200"
201806,78753,Multi-Family,"57,708,700"
201610,78723,Irrigation - Multi-Family,"341,700"
201308,78741,Irrigation - Residential,"51,500"
201508,78722,Irrigation - Multi-Family,"276,500"
201710,78735,Irrigation - Multi-Family,"3,696,900"
201705,78752,Residential,"11,182,700"
201403,78705,Irrigation - Residential,"56,900"
201307,78758,Irrigation - Residential,"43,400"
201601,78704,Multi-Family,"51,823,800"
201712,78722,Multi-Family,"3,076,900"
201610,78702,Residential,"25,661,500"
201405,78719,Multi-Family,"462,000"
201207,78702,Multi-Family,"9,104,600"
201402,78748,Irrigation - Multi-Family,"2,161,200"
201505,78724,Irrigation - Multi-Family,"195,500"
201207,78701,Residential,"1,766,700"
201302,78741,Irrigation - Multi-Family,"1,567,800"
201410,78744,Irrigation - Residential,"23,400"
201511,78748,Irrigation - Multi-Family,"9,928,900"
201802,78733,Residential,"43,600"
201312,78759,Irrigation - Residential,"37,100"
201506,78726,Irrigation - Residential,"21,600"
201406,78747,Multi-Family,"7,743,400"
201510,78727,Residential,"52,511,100"
201201,78739,Irrigation - Residential,0
201310,78722,Residential,"9,408,600"
201202,78757,Irrigation - Residential,"56,200"
201209,78717,Residential,"52,665,300"
201207,78735,Irrigation - Multi-Family,"2,749,300"
201207,78727,Irrigation - Residential,"7,500"
201606,78704,Multi-Family,"52,998,400"
201206,78731,Irrigation - Residential,"809,700"
201801,78702,Multi-Family,"12,832,300"
201602,78705,Irrigation - Multi-Family,"282,100"
201312,78722,Irrigation - Multi-Family,0
201207,78741,Irrigation - Residential,"74,600"
201207,78726,Irrigation - Multi-Family,"6,229,100"
201701,78721,Irrigation - Residential,"3,800"
201201,78703,Irrigation - Residential,"784,300"
201602,78722,Multi-Family,"3,006,800"
201609,78744,Irrigation - Residential,"73,100"
201505,78617,Multi-Family,"3,592,200"
201206,78741,Irrigation - Multi-Family,"3,280,500"
201406,78750,Irrigation - Multi-Family,"1,762,600"
201511,78749,Irrigation - Multi-Family,"5,623,300"
201802,78752,Multi-Family,"15,809,700"
201501,78735,Residential,"14,777,900"
201209,78737,Residential,"15,629,600"
201510,78727,Irrigation - Multi-Family,"8,572,500"
201412,78730,Irrigation - Multi-Family,"1,037,700"
201306,78750,Irrigation - Residential,"22,500"
201212,78704,Multi-Family,"47,396,500"
201206,78739,Residential,"64,634,700"
201501,78726,Residential,"13,698,500"
201208,78744,Irrigation - Residential,"2,100"
201506,78758,Residential,"38,373,800"
201504,78722,Multi-Family,"2,604,600"
201607,78758,Residential,"49,394,600"
201212,78725,Residential,"2,182,600"
201203,78701,Residential,"1,014,400"
201705,78653,Multi-Family,"148,600"
201512,78717,Irrigation - Multi-Family,"2,692,800"
201507,78751,Irrigation - Residential,"112,600"
201505,78756,Irrigation - Residential,"32,400"
201405,78757,Irrigation - Residential,"42,700"
201305,78652,Irrigation - Residential,"45,300"
201606,78722,Multi-Family,"3,193,100"
201306,78747,Residential,"27,465,900"
201809,78728,Multi-Family,"10,112,000"
201508,78653,Multi-Family,"331,200"
201212,78701,Residential,"1,079,900"
201207,78730,Irrigation - Residential,"396,800"
201309,78730,Irrigation - Residential,"176,700"
201408,78758,Irrigation - Multi-Family,"4,622,500"
201304,78753,Irrigation - Multi-Family,"3,839,400"
201209,78701,Irrigation - Multi-Family,"486,800"
201305,78737,Residential,"8,085,600"
201208,78748,Residential,"102,742,500"
201408,78725,Multi-Family,"240,400"
201205,78724,Multi-Family,"11,055,900"
201509,78757,Multi-Family,"14,662,600"
201606,78744,Irrigation - Multi-Family,"2,070,300"
201312,78617,Irrigation - Residential,"3,700"
201408,78702,Irrigation - Residential,"29,600"
201406,78703,Irrigation - Residential,"1,148,700"
201203,78732,Residential,"4,600"
201604,78744,Multi-Family,"28,210,000"
201602,78719,Residential,"1,430,600"
201705,78756,Multi-Family,"5,469,700"
201304,78723,Multi-Family,"21,464,500"
201805,78705,Multi-Family,"37,318,100"
201609,78739,Residential,"53,289,600"
201210,78703,Multi-Family,"13,037,300"
201410,78746,Multi-Family,"13,341,800"
201703,78724,Multi-Family,"11,821,700"
201612,78652,Multi-Family,"72,000"
201802,78704,Residential,"36,324,500"
201208,78744,Multi-Family,"26,818,100"
201210,78728,Irrigation - Multi-Family,"971,400"
201703,78736,Irrigation - Residential,"6,200"
201404,78660,Irrigation - Multi-Family,"559,400"
201308,78737,Irrigation - Residential,"16,000"
201711,78756,Multi-Family,"5,600,900"
201302,78725,Residential,"1,996,000"
201312,78746,Irrigation - Multi-Family,"489,500"
201705,78752,Irrigation - Multi-Family,"100,300"
201312,78724,Irrigation - Residential,"13,400"
201309,78741,Irrigation - Residential,"66,400"
201601,78744,Irrigation - Multi-Family,"1,310,500"
201404,78705,Irrigation - Residential,"82,200"
201201,78725,Irrigation - Multi-Family,0
201410,78705,Irrigation - Residential,"75,800"
201403,78702,Multi-Family,"9,472,200"
201501,78739,Residential,"30,794,500"
201701,78617,Irrigation - Residential,"7,700"
201311,78724,Multi-Family,"11,880,600"
201411,78731,Irrigation - Residential,"367,100"
201804,78735,Irrigation - Multi-Family,"1,934,500"
201506,78759,Irrigation - Residential,"26,600"
201309,78757,Multi-Family,"16,583,500"
201401,78759,Residential,"51,944,900"
201801,78746,Irrigation - Multi-Family,"157,500"
201804,78725,Multi-Family,"158,200"
201807,78652,Residential,"6,170,500"
201310,78730,Residential,"17,218,700"
201802,78746,Irrigation - Multi-Family,"237,300"
201608,78729,Irrigation - Residential,"6,200"
201501,78617,Irrigation - Residential,"6,600"
201209,78724,Irrigation - Residential,"50,300"
201507,78747,Irrigation - Residential,"7,500"
201611,78725,Multi-Family,"184,400"
201210,78722,Multi-Family,"2,858,300"
201306,78741,Irrigation - Multi-Family,"2,629,300"
201306,78741,Multi-Family,"89,898,300"
201205,78749,Irrigation - Multi-Family,"4,937,500"
201202,78729,Residential,"17,513,400"
201210,78736,Irrigation - Residential,"10,900"
201202,78748,Multi-Family,"13,953,300"
201210,78747,Multi-Family,"8,063,500"
201607,78749,Irrigation - Residential,"47,000"
201503,78705,Residential,"7,791,500"
201509,78744,Multi-Family,"30,874,300"
201410,78728,Multi-Family,"7,056,700"
201806,78748,Irrigation - Residential,"27,900"
201512,78660,Multi-Family,"4,542,700"
201604,78701,Irrigation - Residential,"17,000"
201202,78727,Multi-Family,"19,808,300"
201505,78717,Irrigation - Multi-Family,"4,290,100"
201411,78744,Irrigation - Multi-Family,"1,420,200"
201412,78729,Irrigation - Multi-Family,"2,367,900"
201307,78703,Irrigation - Residential,"1,792,200"
201310,78701,Residential,"1,329,600"
201307,78726,Multi-Family,"11,719,500"
201404,78758,Multi-Family,"43,708,200"
201412,78727,Irrigation - Multi-Family,"2,439,000"
201206,78748,Irrigation - Multi-Family,"5,840,500"
201710,78736,Residential,"14,236,100"
201201,78730,Multi-Family,"5,455,800"
201802,78725,Residential,"2,946,500"
201512,78758,Multi-Family,"49,709,000"
201701,78617,Irrigation - Multi-Family,"3,500"
201206,78704,Residential,"63,621,100"
201505,78701,Multi-Family,"14,265,200"
201505,78731,Multi-Family,"16,367,700"
201304,78719,Multi-Family,"399,700"
201804,78752,Irrigation - Multi-Family,"111,400"
201201,78731,Residential,"50,791,200"
201307,78756,Residential,"16,471,500"
201307,78726,Residential,"27,192,500"
201202,78748,Irrigation - Residential,0
201610,78729,Irrigation - Residential,"6,300"
201710,78705,Multi-Family,"42,182,500"
201707,78752,Residential,"14,148,900"
201212,78748,Residential,"75,941,900"
201606,78704,Residential,"42,430,500"
201804,78752,Multi-Family,"17,336,000"
201204,78748,Irrigation - Multi-Family,"2,148,900"
201710,78748,Residential,"65,294,500"
201806,78747,Multi-Family,"8,147,900"
201710,78717,Residential,"36,285,100"
201209,78729,Irrigation - Residential,"22,700"
201505,78745,Irrigation - Multi-Family,"2,879,900"
201207,78747,Irrigation - Residential,"22,700"
201204,78747,Multi-Family,"6,711,000"
201511,78758,Irrigation - Residential,"26,700"
201404,78613,Irrigation - Multi-Family,"1,040,400"
201802,78717,Irrigation - Multi-Family,"1,533,000"
201410,78749,Irrigation - Residential,"26,600"
201411,78739,Residential,"51,744,100"
201610,78759,Residential,"77,988,700"
201608,78729,Irrigation - Multi-Family,"6,077,300"
